mgf_d_1,mgf_a_1,mgf_d_1_control,mgf_a_1_control,mgf_d_2,mgf_a_2,mgf_d_3,mgf_a_3,mgf_d_4,mgf_a_4,mgf_d_4_control,mgf_a_4_control,,lgf_d_1,lgf_a_1,lgf_d_2,lgf_a_2,lgf_d_2_control,lgf_a_2_control,lgf_d_3,lgf_a_3
3,0.82,3,0.8,3,0.7,3,0.56,3,0.45,3,0.045,,3,0.92,3,0.85,3,0.9,3,0.75
0.5,0.96,,,0.6,0.72,1,0.61,2,0.54,,,,1,0.95,1,1,,,2,0.8
0.4,0.98,,,0.5,0.75,0.5,0.7,0.6,0.6,,,,0.9,0.97,0.7,1.02,,,0.4,1.1
0.3,1.2,,,0.4,0.83,0.3,0.8,0.4,0.62,,,,0.8,1.02,0.6,1.12,,,0.3,1.35
0.2,1.45,,,0.3,0.98,0.2,0.98,0.3,0.72,,,,0.7,1.1,0.4,1.4,,,0.2,1.75
0.1,2.6,,,0.2,1.25,0.1,1.85,0.2,1.02,,,,0.6,1.12,0.3,1.55,,,0.1,3.2
0.09,2.75,,,0.1,2.2,0.08,2.1,0.1,1.6,,,,0.5,1.25,0.2,2.05,,,0.09,3.35
0.08,3.1,,,0.09,2.4,0.07,2.45,0.08,1.75,,,,0.4,1.4,0.1,3.4,,,0.08,3.6
0.07,3.55,,,0.08,2.65,0.06,2.7,0.07,1.95,,,,0.3,1.65,0.09,3.83,,,0.07,4.05
0.06,4.05,,,0.07,2.9,0.05,3.05,0.06,2.15,,,,0.2,2.15,0.08,4.2,,,0.06,5.1
0.05,4.8,,,0.06,3.45,0.04,3.4,0.05,2.55,,,,0.1,3.9,0.07,4.8,,,0.05,5.85
0.04,5.8,,,0.05,3.85,0.03,4.4,0.04,3.05,,,,0.09,4.18,0.06,5.2,,,0.04,7
0.03,7.8,,,0.04,4.65,0.02,6.95,0.03,4.1,,,,0.08,4.45,0.05,6.1,,,,
,,,,0.03,5.95,,,0.02,5.9,,,,0.07,5,0.04,7.55,,,,
,,,,0.02,8.4,,,,,,,,0.06,5.6,,,,,,
,,,,,,,,,,,,,0.05,6.7,,,,,,
,,,,,,,,,,,,,0.04,8.9,,,,,,