mgf_trial,mgf_1_t,mgf_1_a,ipi,mgf_2_t,mgf_2_a
0,4.24,2.96,89,3.81,2.96
2,4.24,2.96,89,3.87,2.96
4,4.24,2.96,89,3.84,2.96
6,4.17,2.96,76,3.81,2.96
8,4.17,2.96,76,3.81,2.96
10,4.21,2.96,76,3.81,2.96
12,4.21,2.96,58,3.77,2.96
14,4.14,2.96,58,3.77,2.96
16,4.14,2.96,58,3.73,2.96
18,4.21,2.96,48,3.71,2.96
20,4.17,2.96,48,3.73,2.96
22,4.24,2.96,48,3.73,2.96
24,4.21,2.96,40,3.71,2.96
26,4.17,2.96,40,3.71,2.96
28,4.17,2.96,40,3.71,2.96
30,4.21,2.96,30,3.6,2.96
32,4.14,2.96,30,3.67,2.96
34,4.24,2.96,30,3.64,2.96
36,4.24,2.96,21,3.6,2.96
38,4.21,2.96,21,3.57,2.96
40,4.17,2.96,21,3.6,2.96
42,4.07,2.96,14,3.47,2.96
44,4.07,2.96,14,3.44,2.96
46,4.04,2.96,14,3.37,2.96
48,4.11,2.96,9,3.3,2.96
50,4.14,2.96,9,3.34,2.96
52,4.14,2.96,9,3.34,2.96
54,4.14,2.96,7,3.34,2.94
56,4.11,2.96,7,3.3,2.95
58,4.11,2.96,7,3.34,2.9
60,4.07,2.96,5,3.34,2.87
62,4.07,2.96,5,3.34,2.86
64,4.04,2.96,5,3.37,2.83
66,4.14,2.96,4,3.67,2.12
68,4.14,2.96,4,3.67,2.13
70,4.14,2.96,4,3.71,2.14
72,4.14,2.96,3,3.97,0.32
74,4.17,2.96,3,3.97,0.33
76,4.17,2.96,3,4.01,0.28
78,4.17,2.96,2,,0
80,4.17,2.96,2,,0
82,4.21,2.96,2,,0
84,4.17,2.96,1,,0
86,4.17,2.96,1,,0
88,4.17,2.96,1,,0
90,4.17,2.96,2,,0
92,4.17,2.96,2,,0
94,4.14,2.96,2,,0
96,4.14,2.96,2.5,4.37,0.29
98,4.11,2.96,2.5,4.34,0.32
100,4.07,2.96,2.5,4.31,0.32
102,4.04,2.96,3.4,3.71,0.79
104,4.01,2.96,3.4,3.67,0.87
106,4.07,2.96,3.4,3.71,0.88
108,4.14,2.96,4.3,3.54,2.45
110,4.14,2.96,4.3,3.5,2.43
112,4.11,2.96,4.3,3.5,2.41
114,4.11,2.96,5.2,3.37,2.87
117,4.14,2.96,5.2,3.34,2.88
119,4.11,2.96,6.2,3.34,2.95
121,4.04,2.96,6.2,3.27,2.94
123,4.04,2.96,6.2,3.27,2.95