t_m1,a_m1,t_m2,a_m2,t_m3,a_m3,t_l2,a_l2,t_l3,a_l3,,worm,cell,r,c
1,0.7,2,0.62,3,0.57,2,0.96,3,0.62,,1,mgf,0.601,0.153
0.9,0.72,0.8,0.64,0.8,0.59,1,1.05,1,0.65,,2,mgf,0.471,0.204
0.8,0.77,0.5,0.67,0.4,0.6,0.9,1.17,0.7,0.7,,2,lgf,0.915,0.28
0.5,0.79,0.4,0.75,0.2,0.75,0.6,1.42,0.6,0.74,,3,mgf,0.457,0.117
0.4,0.89,0.2,0.89,0.1,1.05,0.4,1.7,0.5,0.84,,3,lgf,0.594,0.181
0.3,0.89,0.1,1.42,0.07,1.1,0.2,2.25,0.3,0.98,,,,,
0.2,1.05,0.09,1.55,0.06,1.35,0.1,3.75,0.2,1.22,,,,,
0.1,1.52,0.08,1.6,0.05,1.57,0.09,3.8,0.1,1.7,,,,,
0.09,1.54,0.07,1.8,0.04,1.83,0.07,4.35,0.09,1.8,,,,,
0.08,1.65,0.06,1.95,0.03,2.09,0.06,4.95,0.08,2,,,,,
0.07,1.75,0.05,2.4,0.02,2.93,0.05,6.1,0.07,2.15,,,,,
0.06,2.2,0.04,2.85,0.01,5.95,0.04,7.2,0.06,2.3,,,,,
0.05,2.6,0.03,3.8,,,0.03,9.6,0.05,2.45,,,,,
0.04,2.8,0.02,5.5,,,,,0.04,3.3,,,,,
0.03,2.95,,,,,,,0.03,3.9,,,,,
0.02,5.2,,,,,,,0.02,6,,,,,