isi,lag,cv(m/s),,t1,t2,method1,method2,method2
50,3.01,13.28903654,,1.81,3.78,15.2284264,16.57458564,18.51851852
6.63,2.61,15.3256705,,1.77,3.74,15.2284264,16.94915254,18.71657754
8.37,2.51,15.93625498,,1.77,3.74,15.2284264,16.94915254,18.71657754
5.97,2.51,15.93625498,,1.74,3.68,15.46391753,17.24137931,19.02173913
6.23,2.58,15.50387597,,,,,,
8.9,2.64,15.15151515,,,,,,
11.6,2.68,14.92537313,,,,,,
6.7,2.58,15.50387597,,,,,,
50,2.85,14.03508772,,,,,,
6.13,2.58,15.50387597,,,,,,
11.83,2.58,15.50387597,,,,,,
16.57,2.54,15.7480315,,,,,,
6.03,2.51,15.93625498,,,,,,
24.47,2.61,15.3256705,,,,,,
37,2.75,14.54545455,,,,,,
9.7,2.58,15.50387597,,,,,,
32.23,2.68,14.92537313,,,,,,
50,2.91,13.74570447,,,,,,
10.23,2.54,15.7480315,,,,,,
37.27,2.68,14.92537313,,,,,,
21.3,2.58,15.50387597,,,,,,
22.33,2.64,15.15151515,,,,,,
22.33,2.68,14.92537313,,,,,,
39.83,2.75,14.54545455,,,,,,
28.77,2.71,14.7601476,,,,,,
50,2.88,13.88888889,,,,,,
36.67,2.71,14.7601476,,,,,,
46.7,2.75,14.54545455,,,,,,
50,2.75,14.54545455,,,,,,
50,2.92,13.69863014,,,,,,
50,2.88,13.88888889,,,,,,
7.63,2.61,15.3256705,,,,,,
10.1,2.58,15.50387597,,,,,,
36,2.75,14.54545455,,,,,,
42.4,2.75,14.54545455,,,,,,
8.83,2.51,15.93625498,,,,,,
11.73,2.68,14.92537313,,,,,,
50,2.75,14.54545455,,,,,,